week,axis,slice_rows_analyzed,pixel_size_units,kernel_size,kernel_size_mm,area_n,area_mean,area_std,area_min,area_max,perimeter_n,perimeter_mean,perimeter_std,perimeter_min,perimeter_max,lgi_n,lgi_mean,lgi_std,lgi_min,lgi_max,compactness_n,compactness_mean,compactness_std,compactness_min,compactness_max,sulci_count_n,sulci_count_mean,sulci_count_std,sulci_count_min,sulci_count_max,sulci_depth_n,sulci_depth_mean,sulci_depth_std,sulci_depth_min,sulci_depth_max,sulci_depth_normalized_n,sulci_depth_normalized_mean,sulci_depth_normalized_std,sulci_depth_normalized_min,sulci_depth_normalized_max,primary_count_n,primary_count_mean,primary_count_std,primary_count_min,primary_count_max,secondary_count_n,secondary_count_mean,secondary_count_std,secondary_count_min,secondary_count_max,tertiary_count_n,tertiary_count_mean,tertiary_count_std,tertiary_count_min,tertiary_count_max,unclassified_count_n,unclassified_count_mean,unclassified_count_std,unclassified_count_min,unclassified_count_max,primary_sulcus_values_n,primary_sulcus_values_mean,primary_sulcus_values_std,primary_sulcus_values_min,primary_sulcus_values_max,primary_sulcus_values_normalized_n,primary_sulcus_values_normalized_mean,primary_sulcus_values_normalized_std,primary_sulcus_values_normalized_min,primary_sulcus_values_normalized_max,secondary_sulcus_values_n,secondary_sulcus_values_mean,secondary_sulcus_values_std,secondary_sulcus_values_min,secondary_sulcus_values_max,secondary_sulcus_values_normalized_n,secondary_sulcus_values_normalized_mean,secondary_sulcus_values_normalized_std,secondary_sulcus_values_normalized_min,secondary_sulcus_values_normalized_max,tertiary_sulcus_values_n,tertiary_sulcus_values_mean,tertiary_sulcus_values_std,tertiary_sulcus_values_min,tertiary_sulcus_values_max,tertiary_sulcus_values_normalized_n,tertiary_sulcus_values_normalized_mean,tertiary_sulcus_values_normalized_std,tertiary_sulcus_values_normalized_min,tertiary_sulcus_values_normalized_max,unclassified_sulcus_values_n,unclassified_sulcus_values_mean,unclassified_sulcus_values_std,unclassified_sulcus_values_min,unclassified_sulcus_values_max,unclassified_sulcus_values_normalized_n,unclassified_sulcus_values_normalized_mean,unclassified_sulcus_values_normalized_std,unclassified_sulcus_values_normalized_min,unclassified_sulcus_values_normalized_max
24,axial,10,0.09615384615384616 mm/pixel,52,5,10,255.1349852,29.71821378,193.3663092,299.810466,10,64.39098967,4.167499304,55.76975624,70.34991925,10,1.03251433,0.004618033,1.029013268,1.042641306,10,0.771464338,0.01944489,0.736092883,0.805150906,10,0,0,0,0,,,,,,,,,,,10,0,0,0,0,10,0,0,0,0,10,0,0,0,0,10,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,coronal,19,0.10526315789473684 mm/pixel,48,5,19,538.2318122,30.10925734,492.8587258,582.3434903,19,91.35771472,2.520469786,87.24639662,94.93188478,19,1.035498328,0.003795178,1.027590187,1.042377441,19,0.809803453,0.008874867,0.796054954,0.829396167,19,0,0,0,0,,,,,,,,,,,19,0,0,0,0,19,0,0,0,0,19,0,0,0,0,19,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,axial,11,0.08403361344537816 mm/pixel,59,5,11,287.2514781,41.87599571,216.379493,335.3788574,11,68.59325968,6.638462658,57.42151568,74.97462938,11,1.032397852,0.003605967,1.026584954,1.036950135,11,0.767105862,0.041170426,0.718979356,0.836599429,11,0,0,0,0,,,,,,,,,,,11,0,0,0,0,11,0,0,0,0,11,0,0,0,0,11,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,coronal,20,0.09090909090909091 mm/pixel,55,5,20,421.5580579,8.853002376,407.0826446,433.3595041,20,81.54248281,0.93711067,79.2719479,82.45833803,20,1.035981966,0.003574493,1.027926305,1.041626091,20,0.796696661,0.009595313,0.774591325,0.815657418,20,0,0,0,0,,,,,,,,,,,20,0,0,0,0,20,0,0,0,0,20,0,0,0,0,20,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,axial,20,0.08403361344537816 mm/pixel,59,5,20,288.6701151,40.51896078,237.9210508,377.0637667,20,67.2120229,5.165163865,60.38956588,77.44670932,20,1.034095393,0.005281887,1.027997981,1.047599221,20,0.800666639,0.02933597,0.727956626,0.840621174,20,0,0,0,0,,,,,,,,,,,20,0,0,0,0,20,0,0,0,0,20,0,0,0,0,20,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,coronal,20,0.09090909090909091 mm/pixel,55,5,20,484.1202479,7.51489257,470.7809917,495.0743802,20,89.00970491,0.95513123,86.69988735,90.34066322,20,1.039503617,0.003486897,1.029214731,1.044610591,20,0.768077793,0.01837545,0.730555233,0.801371549,20,0.4,0.50262469,0,1,8,1.586780895,0.225040156,1.164417614,1.862215909,8,1,0,1,1,20,0,0,0,0,20,0,0,0,0,20,0,0,0,0,20,0.4,0.50262469,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,1.586780895,0.225040156,1.164417614,1.862215909,8,1,0,1,1
27,axial,20,0.08403361344537816 mm/pixel,59,5,20,296.5567403,22.53200443,261.8459148,339.481675,20,70.26770397,3.953280694,64.97501468,78.18071474,20,1.041306391,0.005226402,1.034199062,1.052837528,20,0.755708026,0.034724571,0.696712887,0.805638412,20,0.05,0.223606798,0,1,1,1.173844538,,1.173844538,1.173844538,1,1,,1,1,20,0,0,0,0,20,0,0,0,0,20,0,0,0,0,20,0.05,0.223606798,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1.173844538,,1.173844538,1.173844538,1,1,,1,1
27,coronal,20,0.09090909090909091 mm/pixel,55,5,20,428.3014463,16.92429572,389.607438,463.7438017,20,86.37300116,1.753091256,82.2059015,89.30641655,20,1.041571978,0.003699618,1.034875026,1.047707234,20,0.721526858,0.022519648,0.685781737,0.763847717,20,0.4,0.50262469,0,1,8,2.249866832,0.750862162,1.237571023,3.294034091,8,1,0,1,1,20,0,0,0,0,20,0,0,0,0,20,0,0,0,0,20,0.4,0.50262469,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2.249866832,0.750862162,1.237571023,3.294034091,8,1,0,1,1
28,axial,20,0.08403361344537816 mm/pixel,59,5,20,309.6146106,56.43304937,228.8750794,404.8619448,20,70.059461,6.897490764,60.07889756,80.4774427,20,1.038772138,0.005481874,1.032299115,1.053313938,20,0.787360951,0.015492692,0.76223371,0.813912435,20,0.25,0.444261658,0,1,5,1.288405987,0.16762507,1.099658613,1.536567752,5,1,0,1,1,20,0,0,0,0,20,0,0,0,0,20,0,0,0,0,20,0.25,0.444261658,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,1.288405987,0.16762507,1.099658613,1.536567752,5,1,0,1,1
28,coronal,20,0.09090909090909091 mm/pixel,55,5,20,503.421281,28.14301362,451.9628099,560.3140496,20,94.22957529,4.613484466,88.72655564,108.3252689,20,1.045224041,0.039831858,1.019133768,1.193160836,20,0.714389714,0.043828107,0.557068922,0.754352479,20,1.1,0.788068926,0,3,22,2.556156379,1.56078586,1.021306818,7.706321023,22,0.852029427,0.293654004,0.132528455,1,20,0,0,0,0,20,0,0,0,0,20,0,0,0,0,20,1.1,0.788068926,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,2.556156379,1.56078586,1.021306818,7.706321023,22,0.852029427,0.293654004,0.132528455,1
