week,axis,slice_rows_analyzed,pixel_size_units,kernel_size,kernel_size_mm,area_n,area_mean,area_std,area_min,area_max,perimeter_n,perimeter_mean,perimeter_std,perimeter_min,perimeter_max,lgi_n,lgi_mean,lgi_std,lgi_min,lgi_max,compactness_n,compactness_mean,compactness_std,compactness_min,compactness_max,sulci_count_n,sulci_count_mean,sulci_count_std,sulci_count_min,sulci_count_max,sulci_depth_n,sulci_depth_mean,sulci_depth_std,sulci_depth_min,sulci_depth_max,sulci_depth_normalized_n,sulci_depth_normalized_mean,sulci_depth_normalized_std,sulci_depth_normalized_min,sulci_depth_normalized_max,primary_count_n,primary_count_mean,primary_count_std,primary_count_min,primary_count_max,secondary_count_n,secondary_count_mean,secondary_count_std,secondary_count_min,secondary_count_max,tertiary_count_n,tertiary_count_mean,tertiary_count_std,tertiary_count_min,tertiary_count_max,unclassified_count_n,unclassified_count_mean,unclassified_count_std,unclassified_count_min,unclassified_count_max,primary_sulcus_values_n,primary_sulcus_values_mean,primary_sulcus_values_std,primary_sulcus_values_min,primary_sulcus_values_max,primary_sulcus_values_normalized_n,primary_sulcus_values_normalized_mean,primary_sulcus_values_normalized_std,primary_sulcus_values_normalized_min,primary_sulcus_values_normalized_max,secondary_sulcus_values_n,secondary_sulcus_values_mean,secondary_sulcus_values_std,secondary_sulcus_values_min,secondary_sulcus_values_max,secondary_sulcus_values_normalized_n,secondary_sulcus_values_normalized_mean,secondary_sulcus_values_normalized_std,secondary_sulcus_values_normalized_min,secondary_sulcus_values_normalized_max,tertiary_sulcus_values_n,tertiary_sulcus_values_mean,tertiary_sulcus_values_std,tertiary_sulcus_values_min,tertiary_sulcus_values_max,tertiary_sulcus_values_normalized_n,tertiary_sulcus_values_normalized_mean,tertiary_sulcus_values_normalized_std,tertiary_sulcus_values_normalized_min,tertiary_sulcus_values_normalized_max,unclassified_sulcus_values_n,unclassified_sulcus_values_mean,unclassified_sulcus_values_std,unclassified_sulcus_values_min,unclassified_sulcus_values_max,unclassified_sulcus_values_normalized_n,unclassified_sulcus_values_normalized_mean,unclassified_sulcus_values_normalized_std,unclassified_sulcus_values_normalized_min,unclassified_sulcus_values_normalized_max
24,axial,20,0.47619047619047616 mm/pixel,10,5,20,2109.047619,85.57451327,2001.70068,2295.351474,20,207.4006914,25.36174355,174.9869994,248.8366481,20,1.089050364,0.105974629,1.023357874,1.311621082,20,0.638167678,0.133148933,0.440407318,0.821480829,20,3.8,0.410391341,3,4,76,6.767529174,5.650946195,0.974702381,24.76190476,76,0.517873447,0.321679888,0.128079928,1,20,0.75,0.444261658,0,1,20,2.9,0.552506251,2,4,20,0.15,0.366347549,0,1,20,0,0,0,0,15,16.3764881,6.399151991,8.095238095,24.76190476,15,1,0,1,1,58,4.56274374,1.07921732,2.925967262,7.899925595,58,0.410997014,0.238934551,0.128079928,1,3,1.34858631,0.383522988,0.974702381,1.741071429,3,0.173518385,0.02993039,0.13984521,0.197094125,,,,,,,,,,
24,coronal,20,0.47619047619047616 mm/pixel,10,5,20,1600.861678,36.36282808,1502.721088,1628.684807,20,197.8638358,6.003784476,185.4667598,204.6016587,20,1.068053821,0.012269449,1.052226702,1.088666029,20,0.51457234,0.020954998,0.486935632,0.548979435,20,4.25,0.444261658,4,5,85,6.654543067,2.75413304,0.814732143,11.25,85,0.622452621,0.255763588,0.073247354,1,20,1,0,1,1,20,2.9,0.307793506,2,3,20,0.35,0.670820393,0,2,20,0,0,0,0,20,10.68424479,0.402741503,10,11.25,20,1,0,1,1,58,5.924030172,1.084707858,3.078497024,7.619047619,58,0.554042078,0.095130519,0.29086116,0.677248677,7,1.193930697,0.65368337,0.814732143,2.514880952,7,0.11057604,0.061396999,0.073247354,0.23756809,,,,,,,,,,
24,sagittal,20,0.47619047619047616 mm/pixel,10,5,20,1760.102041,45.40253868,1663.492063,1815.646259,20,177.1748943,12.52537477,162.1724969,200.3061735,20,1.022620693,0.022821397,1.003740411,1.062970801,20,0.713890766,0.092595939,0.543553995,0.79483355,20,2,0,2,2,40,6.235909598,2.521941627,2.237723214,12.46279762,40,0.858027391,0.199983367,0.362022269,1,20,0.25,0.444261658,0,1,20,1.65,0.489360485,1,2,20,0.1,0.307793506,0,1,20,0,0,0,0,5,12.02938988,0.502056434,11.48809524,12.46279762,5,1,0,1,1,33,5.581653589,1.08526843,3.333333333,6.930803571,33,0.862906138,0.182998926,0.556119403,1,2,2.547433036,0.43799583,2.237723214,2.857142857,2,0.422596539,0.085664954,0.362022269,0.483170808,,,,,,,,,,
25,axial,20,0.47619047619047616 mm/pixel,10,5,20,2279.212018,94.91380489,2123.24263,2516.439909,20,216.1351003,32.06367521,183.5513905,277.7033092,20,1.064087331,0.097173321,1.021366227,1.36300037,20,0.645793159,0.158303048,0.378400351,0.817618884,20,3.8,0.615587011,2,5,76,6.690725838,6.110349348,0.79985119,27.57440476,76,0.4933592,0.339036619,0.0762687,1,20,0.7,0.470162346,0,1,20,2.35,0.670820393,1,3,20,0.75,0.638666374,0,2,20,0,0,0,0,14,17.04081633,7.527240328,8.850446429,27.57440476,14,1,0,1,1,47,5.136817693,1.441789468,3.046875,8.372395833,47,0.443309793,0.266705269,0.124904161,1,15,1.899553571,0.864974272,0.79985119,2.857142857,15,0.177315928,0.099752478,0.0762687,0.384576865,,,,,,,,,,
25,coronal,20,0.47619047619047616 mm/pixel,10,5,20,1765.028345,68.48413871,1574.376417,1829.931973,20,200.6284489,5.192475474,189.6714976,208.1225664,20,1.079334336,0.04329772,1.035260057,1.152401595,20,0.551384633,0.021713832,0.517169837,0.581608864,20,4,0,4,4,80,7.233514695,2.152709686,4.110863095,11.7280506,80,0.714150349,0.222517465,0.395197256,1,20,1.1,0.552506251,0,2,20,2.9,0.552506251,2,4,20,0,0,0,0,20,0,0,0,0,22,10.10814056,1.221439006,8.058035714,11.7280506,22,0.977070529,0.056944494,0.786920981,1,58,6.143139368,1.214060124,4.110863095,7.976190476,58,0.614422005,0.175011983,0.395197256,1,,,,,,,,,,,,,,,,,,,,
25,sagittal,20,0.47619047619047616 mm/pixel,10,5,20,1922.517007,51.82861477,1826.643991,1999.319728,20,187.0957635,13.76219547,172.6522573,210.9408494,20,1.026437477,0.026139485,1.004233554,1.073979746,20,0.699658258,0.092508023,0.551126426,0.782477694,20,2.3,0.470162346,2,3,46,6.546244177,4.377243122,1.15327381,15.99516369,46,0.64664882,0.346533477,0.076307692,1,20,0.3,0.470162346,0,1,20,1.35,0.489360485,1,2,20,0.65,0.489360485,0,1,20,0,0,0,0,6,15.76946925,0.332793268,15.11346726,15.99516369,6,1,0,1,1,27,6.736180004,1.579819558,3.528645833,8.504464286,27,0.779929753,0.237021041,0.4849182,1,13,1.894888965,0.586554452,1.15327381,3.126860119,13,0.206749413,0.128704279,0.076307692,0.450791097,,,,,,,,,,
26,axial,20,0.47619047619047616 mm/pixel,10,5,20,2551.400227,96.66919364,2346.485261,2745.124717,20,228.1821261,33.19964189,186.9627563,282.1083362,20,1.084309725,0.0945053,1.018585345,1.338195403,20,0.65048244,0.17096974,0.402569585,0.860111379,20,3.65,0.670820393,2,4,73,7.111082233,6.184984113,0.890997024,28.0952381,73,0.564524415,0.340329269,0.120689655,1,20,0.5,0.512989176,0,1,20,2.75,0.638666374,2,4,20,0.4,0.680557047,0,2,20,0,0,0,0,10,20.04185268,7.75659315,9.998139881,28.0952381,10,1,0,1,1,55,5.616409632,1.606106552,3.333333333,8.670014881,55,0.543825747,0.307776275,0.120689655,1,8,1.223493304,0.427580931,0.890997024,2.036830357,8,0.162483278,0.039752264,0.126984127,0.234928127,,,,,,,,,,
26,coronal,20,0.47619047619047616 mm/pixel,10,5,20,1892.806122,59.65375452,1720.181406,1948.185941,20,214.3802848,8.748778811,202.7504575,227.3482127,20,1.110246483,0.06617367,1.036980862,1.203507412,20,0.519276374,0.035493617,0.464966627,0.561186823,20,4.65,0.87509398,4,6,93,6.661766353,3.209873137,0.948660714,11.56808036,93,0.650491588,0.31651581,0.094866071,1,20,1.6,0.940324692,0,3,20,2.4,0.940324692,1,4,20,0.65,0.87509398,0,2,20,0,0,0,0,32,9.889090402,0.893155456,8.543526786,11.56808036,32,0.944173365,0.070903824,0.77826017,1,48,5.948893229,2.053552093,2.857142857,8.6328125,48,0.597151764,0.233621076,0.256856187,1,13,1.349730998,0.192986101,0.948660714,1.62202381,13,0.124529641,0.01558352,0.094866071,0.15260763,,,,,,,,,,
26,sagittal,20,0.47619047619047616 mm/pixel,10,5,20,1911.292517,314.9889985,1019.727891,2189.569161,20,203.6616675,18.05532574,180.3591083,235.0284844,20,1.068737712,0.071164186,1.00550335,1.30418582,20,0.589210975,0.135992168,0.370159469,0.758163217,20,2.45,0.887041208,1,4,49,7.567381863,5.218332411,1.097470238,20.1860119,49,0.659266262,0.338437869,0.074250304,1,20,0.65,0.812727701,0,3,20,1.25,0.910465468,0,3,20,0.55,0.759154655,0,2,20,0,0,0,0,13,14.34352106,4.155692422,7.01078869,20.1860119,13,0.905242019,0.182539433,0.505702402,1,25,6.670014881,1.920177582,3.333333333,9.730282738,25,0.737259261,0.266750252,0.17969038,1,11,1.598687771,0.494110341,1.097470238,2.857142857,11,0.191310826,0.065508688,0.074250304,0.316179498,,,,,,,,,,
27,axial,20,0.47619047619047616 mm/pixel,10,5,20,2790.481859,54.41267372,2691.836735,2875.963719,20,227.6723675,23.54809056,203.215204,293.536384,20,1.047436446,0.036618917,1.021455458,1.182021046,20,0.695812667,0.13010525,0.400175697,0.829516715,20,4.05,0.394034463,3,5,81,6.158854167,4.70478055,0.972842262,27.1577381,81,0.529177964,0.311019413,0.062331081,1,20,0.55,0.510417786,0,1,20,2.5,0.512989176,2,3,20,1,0.858395075,0,2,20,0,0,0,0,11,15.26650433,5.675809209,9.838169643,27.1577381,11,1,0,1,1,50,5.874590774,1.776850819,3.604910714,8.909970238,50,0.545687981,0.25827826,0.15109589,1,20,1.86030506,0.645346865,0.972842262,3.171502976,20,0.228950802,0.106427,0.062331081,0.433872768,,,,,,,,,,
